counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,0W2PZJM8XOY22M4GG883,X3CZP3CK64YBHON1LE12,213800R54EFFINMY1P022024062420050000000000001056GKA8,Trade,SLLR,,,202406242005PKG1056GK25,EZYXW91J5624,,HRCAVC,SWPT,INTR,,,2024-06-24T15:09:13Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,TPIR,2024-06-24T12:01:40Z,2024-06-24,2024-07-24,,2024-07-24,CASH,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,2.756,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,,,MNTH,6.0,PUTO,EURO,2034-07-26,,,,,TCTN
X3CZP3CK64YBHON1LE12,0W2PZJM8XOY22M4GG883,X3CZP3CK64YBHON1LE12,213800R54EFFINMY1P022024062420050000000000001056GKA8,Allege,SLLR,,,202406242005PKG1056GK25,EZXK699SJHR7,,HRCAVC,SWPT,INTR,,,2024-06-24T15:09:13Z,ECNF,FLSE,N,,,ISDA,2002.0,False,False,,,TPIR,2024-06-24T12:01:40Z,2024-06-24,2024-07-24,,2024-07-26,CASH,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,2.756,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,,,MNTH,6.0,PUTO,EURO,2034-07-26,,,,,TCTN
X3CZP3CK64YBHON1LE12,0W2PZJM8XOY22M4GG883,X3CZP3CK64YBHON1LE12,213800R54EFFINMY1P022024062420050000000000001056GK35,Trade,SLLR,,,202406242005PKG1056GK25,EZ47YZ2HZNP2,,HRCDVC,SWPT,INTR,,,2024-06-24T15:08:34Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,TPIR,2024-06-24T12:02:23Z,2024-06-24,2024-07-24,,2024-07-24,CASH,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,2.756,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,,,MNTH,6.0,CALL,EURO,2034-07-26,,,,,TCTN
X3CZP3CK64YBHON1LE12,0W2PZJM8XOY22M4GG883,X3CZP3CK64YBHON1LE12,213800R54EFFINMY1P022024062420050000000000001056GK35,Allege,SLLR,,,202406242005PKG1056GK25,EZ195W3CTZP5,,HRCDVC,SWPT,INTR,,,2024-06-24T15:08:34Z,ECNF,FLSE,N,,,ISDA,2002.0,False,False,,,TPIR,2024-06-24T12:02:23Z,2024-06-24,2024-07-24,,2024-07-26,CASH,,,25000000.0,EUR,,,,,,,,25000000.0,EUR,,,,,,,,2.756,A001,YEAR,1.0,,,,,,,,,,,,,,,EURI,A004,MNTH,6.0,,,MNTH,6.0,CALL,EURO,2034-07-26,,,,,TCTN
W9NG6WMZIYEU8VEDOG48,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,CK64YBHON1IR123135581026,Allege,BYER_Allege,,,,EZ12PD3198Q6,,SRDCCP,SWAP,INTR,,,2021-10-08T14:37:38Z,YCNF,FLSE,N,,,ISDA,1992.0,False,,,,XOFF,2021-10-08T11:36:19Z,2021-10-12,2025-10-07,,,PHYS,0.0,,100200400.8,EUR,,,,,,,,,GBP,,,,,,,,0.0,A004,YEAR,1.0,,,,,,,,,,1.268,A005,YEAR,1.0,,,,,,,,,,,,,,,,,TCTN
W9NG6WMZIYEU8VEDOG48,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,CK64YBHON1IR123135581026,Trade,BYER,MAKE_Trade,TAKE_Trade,,EZ12PD3198Q6,QZVM20KFN2V4,SRDCCP,SWAP,INTR,,,2021-10-08T14:37:38Z,ECNF,UKWN,N,,,ISDA,1992.0,False,,,,NWNV,2021-10-08T11:36:19Z,2021-10-12,2025-10-07,,2025-10-07,PHYS,0.0,,100200400.8016,EUR,,,,,,,,85000000.0,GBP,,,,,,,,0.0,A004,YEAR,1.0,,,,,,,,,,1.268,A005,YEAR,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004949242C,Trade,,MAKE_Trade,TAKE_Trade,,,QZN585NDC2QW,JRIXFP,FRAS,INTR,EU0009652791,EU0009652791,,,UKWN,Y,2024-05-29T06:03:03Z,529900LN3S50JPU47S06,OTHR,,False,False,,,REST,2024-05-29T03:39:12Z,2024-08-07,2024-08-07,,2024-08-07,PHYS,,,65000000.0,EUR,,,,,,,,65000000.0,EUR,,,,,,,,,,,,,,,,,,,,,3.6394,A004,EXPI,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004949242C,Allege,,MAKE,,,,QZN585NDC2QW,JRIXFP,FRAS,INTR,X,EU0009652791,,,UKWN,Y,2024-05-29T06:03:03Z,529900LN3S50JPU47S06,OTHR,,False,False,,,REST,2024-05-29T03:39:12Z,2024-08-07,2024-08-07,,2024-08-07,PHYS,,,65000000.0,EUR,,,,,,,,65000000.0,EUR,,,,,,,,,,,,,,,,,,,,,3.6394,A004,EXPI,1.0,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004969640C,Trade,,MAKE_Trade,TAKE_Trade,RTNNotReceived,EZPXLSX5PV28,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-06-06T13:55:29Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-06-06T13:55:25Z,2024-06-10,2029-06-07,,2029-06-07,PHYS,,,13500000.0,EUR,,,,,,,,13500000.0,EUR,,,,,,,,2.7233,A004,YEAR,1.0,,,,,,,,,,,,,,,,A004,YEAR,1.0,DAIL,1.0,DAIL,1.0,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06,X3CZP3CK64YBHON1LE12,529900LN3S50JPU47S06O00000000000004969640C,Allege,,MAKE,,RTNNotReceived,,,SRHCSP,SWAP,INTR,,,,,UKWN,Y,2024-06-06T13:55:29Z,529900LN3S50JPU47S06,OTHR,,False,False,,,BTFE,2024-06-06T13:55:25Z,2024-06-10,2029-06-07,,2029-06-07,PHYS,,,13500000.0,EUR,,,,,,,,13500000.0,EUR,,,,,,,,2.7233,A004,YEAR,1.0,,,,,,,,,,,,,,,,A004,YEAR,1.0,,,DAIL,1.0,,,,,,,,TCTN
