counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
X3CZP3CK64YBHON1LE12,6B2PBRV1FCJDMR45RZ53,X3CZP3CK64YBHON1LE12,6B2PBRV1FCJDMR45RZ5323569674,Trade,,MAKE_Trade,TAKE_Trade,,EZDPSXZ1Z9P1,,JFTXFP,FORW,CURR,,,2024-06-07T11:48:21Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,NWNV,2024-05-28T14:47:12Z,2024-05-28,2024-06-26,,2024-06-26,PHYS,,,200000000.0,EUR,,,,,,,,217694000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,6B2PBRV1FCJDMR45RZ53,X3CZP3CK64YBHON1LE12,6B2PBRV1FCJDMR45RZ5323569674,Allege,,MAKE,,,,,JFTXFP,FORW,CURR,,,2024-06-07T11:48:21Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,NWNV,2024-05-28T14:47:12Z,2024-05-28,2024-06-26,,2024-06-26,PHYS,,,200000000.0,EUR,,,,,,,,217694000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6666B1C8D90C0053,Trade,,MAKE_Trade,TAKE_Trade,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-06-13T11:18:25Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-06-11T08:46:58Z,2024-06-11,2026-03-13,,2026-03-13,PHYS,,,2000000.0,EUR,,,,,,,,2212398.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,7CUNS533WID6K7DGFI87,X3CZP3CK64YBHON1LE12,549300ROEJDDAXM6LU05BBG0000000000B6666B1C8D90C0053,Allege,,MAKE,,,,QZKC6FFQL6Q3,JFTXFP,FORW,CURR,,,2024-06-13T11:18:25Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,BMTF,2024-06-11T08:46:58Z,2024-06-11,2026-03-13,,2026-03-13,PHYS,,,2000000.0,EUR,,,,,,,,2212398.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900W3MOO00A18X956,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX120L231213A1F3E8,Trade,,TAKE_Trade,MAKE_Trade,,EZSP5B0YZM27,,JFTXFP,FORW,CURR,,,2024-06-03T13:54:46Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,NWNV,2023-12-13T10:39:37Z,2023-12-13,2024-07-15,,2024-07-15,PHYS,,,25000000.0,EUR,,,,,,,,9788750000.0,HUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,529900W3MOO00A18X956,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX120L231213A1F3E8,Allege,,TAKE,,,,,JFTXFP,FORW,CURR,,,2024-06-03T13:54:46Z,ECNF,UKWN,N,,,ISDA,1992.0,False,False,,,NWNV,2023-12-13T10:39:37Z,2023-12-13,2024-07-15,,2024-07-15,PHYS,,,25000000.0,EUR,,,,,,,,9788750000.0,HUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B6641C0EDD90C0029,Trade,,MAKE_Trade,TAKE_Trade,BBG0000000000B6641C0EDD90C0029,,,JFTXFP,FORW,,,,,NCNF,UKWN,,,,,,,,,,,2024-05-13T14:12:05Z,2024-05-13,,,,,,,1600000.0,NZD,,,,,,,,963209.6,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B6641C0EDD90C0029,Allege,BYER_Allege,,,890818318,,,SFAXXP,SWAP,,,,2024-05-13T14:12:00Z,ECNF,FLSE,,,,,,,,,,,2024-05-13T00:00:00Z,2024-05-14,,,,,0.05,NZD,1600000.0,NZD,,,,,,,,963217.6,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B666FD96043280048,Trade,,MAKE_Trade,TAKE_Trade,BBG0000000000B666FD96043280048,EZ27CQQBJD25,,JFTXFP,FORW,CURR,,,2024-06-17T11:55:30Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,BTFE,2024-06-17T11:43:19Z,2024-06-17,2024-06-27,,2024-06-27,PHYS,,,600000.0,SGD,,,,,,,,443637.03,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B666FD96043280048,Allege,,MAKE,,BBG0000000000B666FD96043280048,,,JFTXFP,FORW,CURR,,,2024-06-17T11:55:30Z,ECNF,UKWN,N,,,ISDA,2002.0,False,False,,,BTFE,2024-06-17T11:43:19Z,2024-06-17,2024-06-27,,2024-06-27,PHYS,,,600000.0,SGD,,,,,,,,443637.03,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B665D2901E620005F,Trade,,TAKE_Trade,MAKE_Trade,BBG0000000000B665D2901E620005F,,,JFTXFP,FORW,,,,,,UKWN,,,,,,,,,,,2024-06-03T08:16:58Z,,,,,,,,16400000.0,DKK,,,,,,,,2382327.2,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3CZP3CK64YBHON1LE12,TO822O0VT80V06K0FH57,X3CZP3CK64YBHON1LE12,254900QBKK4WBSO3GE51BBG0000000000B665D2901E620005F,Allege,BYER_Allege,,,892587038,,,SFAXXP,SWAP,,,,,,FLSE,,,,,,,,,,,2024-06-03T00:00:00Z,,,,,,0.27891,DKK,16400000.0,DKK,,,,,,,,2381869.8,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
