counterparty 1 (reporting counterparty),counterparty 2,report submitting entity,uti,trade or allege,direction,direction of leg 1,direction of leg 2,report tracking number,isin,unique product identifier (upi),product classification,contract type,asset class,underlying identification type,underlying identification,confirmation timestamp,confirmed,clearing obligation,cleared,clearing timestamp,central counterparty,master agreement type,master agreement version,intragroup,ptrr,type of ptrr technique,ptrr service provider,venue of execution,execution timestamp,effective date,expiration date,early termination date,final contractual settlement date,delivery type,price,price currency,notional amount of leg 1,notional currency 1,effective date of the notional amount of leg 1,end date of the notional amount of leg 1,notional amount in effect on associated effective date of leg 1,total notional quantity of leg 1,effective date of the notional quantity of leg 1,end date of the notional quantity of leg 1,notional quantity in effect on associated effective date of leg 1,notional amount of leg 2,notional currency 2,effective date of the notional amount of leg 2,end date of the notional amount of leg 2,notional amount in effect on associated effective date of leg 2,total notional quantity of leg 2,effective date of the notional quantity of leg 2,end date of the notional quantity of leg 2,notional quantity in effect on associated effective date of leg 2,fixed rate of leg 1 or coupon,fixed rate or coupon day count convention leg 1,fixed rate or coupon payment frequency period leg 1,fixed rate or coupon payment frequency period multiplier leg 1,identifier of the floating rate of leg 1,indicator of the floating rate of leg 1,floating rate day count convention of leg 1,floating rate payment frequency period of leg 1,floating rate payment frequency period multiplier of leg 1,floating rate reference period of leg 1 – time period,floating rate reference period of leg 1 – multiplier,floating rate reset frequency period of leg 1,floating rate reset frequency multiplier of leg 1,fixed rate of leg 2,fixed rate day count convention leg 2,fixed rate payment frequency period leg 2,fixed rate payment frequency period multiplier leg 2,identifier of the floating rate of leg 2,indicator of the floating rate of leg 2,floating rate day count convention of leg 2,floating rate payment frequency period of leg 2,floating rate payment frequency period multiplier of leg 2,floating rate reference period of leg 2 – time period,floating rate reference period of leg 2 – multiplier,floating rate reset frequency period of leg 2,floating rate reset frequency multiplier of leg 2,option type,option style,maturity date of the underlying,seniority,reference entity,index factor,tranche,level
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543664100PL3,Allege,SLLR,,,,EZZ2NT38CZV5,,JFTXFC,FORW,CURR,,,2022-07-18T10:29:46Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T08:58:39Z,2022-07-18,2025-09-10,,2025-09-10,CASH,30.556,TWD,1979971.2,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543664100PL3,Trade,SLLR,,,,EZZ2NT38CZV5,,JFTXFC,FORW,CURR,,,2022-07-18T10:29:46Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T08:58:39Z,2022-07-18,2025-09-10,,2025-09-10,CASH,30.556,TWD,1979971.2,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281545329514PL3,Allege,BYER,,,,EZ6WD90YZZN0,,JFTXFC,FORW,CURR,,,2022-07-26T07:59:46Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-26T07:18:34Z,2022-07-26,2024-09-26,,2024-09-26,CASH,30.5811,TWD,1634996.78,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281545329514PL3,Trade,BYER,,,,EZ6WD90YZZN0,,JFTXFC,FORW,CURR,,,2022-07-26T07:59:46Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-26T07:18:34Z,2022-07-26,2024-09-26,,2024-09-26,CASH,30.5811,TWD,1634996.78,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543642757PL3,Allege,BYER,,,,EZ9DD88R2HV7,,JFTXFC,FORW,CURR,,,2022-07-18T08:44:46Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T08:00:20Z,2022-07-18,2025-04-24,,2025-04-24,CASH,30.5807,TWD,1978371.98,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543642757PL3,Trade,BYER,,,,EZ9DD88R2HV7,,JFTXFC,FORW,CURR,,,2022-07-18T08:44:46Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T08:00:20Z,2022-07-18,2025-04-24,,2025-04-24,CASH,30.5807,TWD,1978371.98,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543632263PL3,Allege,SLLR,,,,EZY7HGYQBVT3,,JFTXFC,FORW,CURR,,,2022-07-18T08:09:47Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T07:38:41Z,2022-07-18,2025-02-12,,2025-02-12,CASH,30.4874,TWD,1984426.35,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543632263PL3,Trade,SLLR,,,,EZY7HGYQBVT3,,JFTXFC,FORW,CURR,,,2022-07-18T08:09:47Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T07:38:41Z,2022-07-18,2025-02-12,,2025-02-12,CASH,30.4874,TWD,1984426.35,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543674206PL3,Allege,SLLR,,,,EZK32C6YBSB8,,JFTXFC,FORW,CURR,,,2022-07-18T11:39:49Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T09:17:35Z,2022-07-18,2025-10-29,,2025-10-29,CASH,30.6248,TWD,1975523.11,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543674206PL3,Trade,SLLR,,,,EZK32C6YBSB8,,JFTXFC,FORW,CURR,,,2022-07-18T11:39:49Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T09:17:35Z,2022-07-18,2025-10-29,,2025-10-29,CASH,30.6248,TWD,1975523.11,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543638721PL3,Allege,BYER,,,,EZ99BT9MW9M7,,JFTXFC,FORW,CURR,,,2022-07-18T08:19:47Z,YCNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T07:49:05Z,2022-07-18,2025-03-12,,2025-03-12,CASH,30.5326,TWD,1981488.64,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
529900NNUPAGGOMPXZ31,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,1010000281543638721PL3,Trade,BYER,,,,EZ99BT9MW9M7,,JFTXFC,FORW,CURR,,,2022-07-18T08:19:47Z,ECNF,UKWN,N,,,RAHMV (DE),2001.0,True,,,,XXXX,2022-07-18T07:49:05Z,2022-07-18,2025-03-12,,2025-03-12,CASH,30.5326,TWD,1981488.64,EUR,,,,,,,,,TWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00824016LN051191DTS1,Allege,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2024-01-16T15:12:42Z,2024-01-16,2024-07-31,,2024-08-05,CASH,,,17666000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00824016LN051191DTS1,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2024-01-16T15:12:42Z,2024-01-16,2024-07-31,,2024-08-05,CASH,,,17666000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS1,Allege,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,2133810.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823348LN022525DTS1,Trade,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057850DTS3,Allege,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-08-29,,2025-09-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057850DTS3,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-08-29,,2025-09-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057853DTS3,Allege,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-11-28,,2025-12-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
WOCMU6HCI0OJWNPRZS33,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12,X3CZP3CK64YBHON1LE12FX00823186LN057853DTS3,Trade,,MAKE,TAKE,,,QZZMTZNX30J8,JFTXFC,FORW,CURR,,,,NCNF,UKWN,N,,,ISDA,1992.0,True,0.0,,,NWNV,2023-07-05T16:15:46Z,2023-07-05,2025-11-28,,2025-12-03,CASH,,,1100000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TCTN
